@relation 'Factors_ Affecting_ University_Student_Grades_Dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R28-29-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R17-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R20-precision6'

@attribute Age {'\'(-inf-20]\'','\'(20-inf)\''}
@attribute Gender {F,M}
@attribute Previous_Grade {A,C,B}
@attribute Attendance {'\'(-inf-76]\'','\'(76-82]\'','\'(82-88]\'','\'(88-94]\'','\'(94-inf)\''}
@attribute 'Study_Hours_PerWeek ' {'\'(-inf-10]\'','\'(10-15]\'','\'(15-inf)\''}
@attribute Major {Law,Business,Medicine,Arts,Engineering,Science}
@attribute Uni_Type {Private,Public}
@attribute Financial_Status {Low,Medium,High}
@attribute Parental_Involvement {High,Low,Medium}
@attribute Educational_Resources {Yes,No}
@attribute Motivation {Medium,Low,High}
@attribute Stress_Levels {High,Medium,Low}
@attribute Uni_Environment {Negative,Positive,Neutral}
@attribute Professor_Quality {Medium,High,Low}
@attribute Class_Size {'\'(-inf-30]\'','\'(30-40]\'','\'(40-50]\'','\'(50-60]\'','\'(60-70]\'','\'(70-80]\'','\'(80-90]\'','\'(90-inf)\''}
@attribute Extracurricular_Activities {Yes,No}
@attribute Sleep_Hours_PerDay {'\'(-inf-6.5]\'','\'(6.5-inf)\''}
@attribute Nutrition {Unhealthy,Healthy,Balanced}
@attribute Physical_Activities {Low,High,Medium}
@attribute Screen_Time_PerDay {'\'(-inf-6]\'','\'(6-inf)\''}
@attribute Educational_Tech_Use {Yes,No}
@attribute Bullying {No,Yes}
@attribute Learning_Style {Visual,Auditory,Kinesthetic}
@attribute Tutoring {Yes,No}
@attribute Mentoring {Yes,No}
@attribute Lack_of_Interest {Low,Medium,High}
@attribute Grade {B,A,C}

@data
'\'(20-inf)\'',F,A,'\'(76-82]\'','\'(-inf-10]\'',Law,Private,Low,High,Yes,Medium,High,Negative,Medium,'\'(30-40]\'',Yes,'\'(-inf-6.5]\'',Unhealthy,Low,'\'(-inf-6]\'',Yes,Yes,Visual,Yes,No,Low,B
'\'(20-inf)\'',M,A,'\'(82-88]\'','\'(10-15]\'',Law,Public,Low,Low,Yes,Medium,Low,Negative,High,'\'(70-80]\'',Yes,'\'(-inf-6.5]\'',Healthy,Low,'\'(6-inf)\'',No,No,Auditory,Yes,Yes,Medium,A
'\'(-inf-20]\'',M,C,'\'(88-94]\'','\'(10-15]\'',Law,Private,Low,Medium,No,Low,High,Positive,Medium,'\'(40-50]\'',No,'\'(-inf-6.5]\'',Unhealthy,High,'\'(6-inf)\'',No,No,Visual,No,No,Low,A
'\'(20-inf)\'',M,A,'\'(82-88]\'','\'(10-15]\'',Business,Public,Medium,Low,No,High,Medium,Positive,High,'\'(60-70]\'',Yes,'\'(-inf-6.5]\'',Unhealthy,High,'\'(6-inf)\'',Yes,No,Auditory,Yes,Yes,Low,C
'\'(-inf-20]\'',M,C,'\'(88-94]\'','\'(10-15]\'',Medicine,Private,Medium,Low,Yes,High,High,Negative,Low,'\'(40-50]\'',Yes,'\'(-inf-6.5]\'',Unhealthy,Low,'\'(6-inf)\'',Yes,No,Auditory,Yes,No,Medium,B
'\'(-inf-20]\'',M,C,'\'(76-82]\'','\'(10-15]\'',Law,Private,High,Low,Yes,High,Low,Negative,Low,'\'(60-70]\'',No,'\'(6.5-inf)\'',Balanced,Medium,'\'(6-inf)\'',Yes,No,Auditory,Yes,No,Low,C
'\'(-inf-20]\'',M,A,'\'(82-88]\'','\'(10-15]\'',Law,Private,High,Medium,No,Medium,High,Positive,High,'\'(80-90]\'',No,'\'(6.5-inf)\'',Healthy,Low,'\'(-inf-6]\'',No,Yes,Visual,No,No,High,A
'\'(20-inf)\'',M,C,'\'(-inf-76]\'','\'(-inf-10]\'',Business,Public,High,Low,No,Medium,High,Positive,Medium,'\'(30-40]\'',Yes,'\'(-inf-6.5]\'',Balanced,High,'\'(-inf-6]\'',No,Yes,Visual,Yes,Yes,High,A
'\'(-inf-20]\'',M,C,'\'(-inf-76]\'','\'(-inf-10]\'',Law,Public,Low,Low,No,High,Low,Positive,High,'\'(50-60]\'',Yes,'\'(6.5-inf)\'',Unhealthy,Medium,'\'(-inf-6]\'',Yes,No,Auditory,No,Yes,Low,B
'\'(20-inf)\'',F,A,'\'(76-82]\'','\'(-inf-10]\'',Arts,Private,High,Low,Yes,High,High,Neutral,Low,'\'(40-50]\'',No,'\'(-inf-6.5]\'',Unhealthy,Medium,'\'(-inf-6]\'',Yes,No,Visual,Yes,Yes,High,A
'\'(20-inf)\'',F,C,'\'(82-88]\'','\'(-inf-10]\'',Engineering,Private,High,Low,No,High,Medium,Neutral,High,'\'(60-70]\'',No,'\'(-inf-6.5]\'',Unhealthy,High,'\'(6-inf)\'',Yes,No,Auditory,No,No,Medium,B
