Age,Gender,Previous_Grade,Attendance,Study_Hours_PerWeek ,Major,Uni_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Stress_Levels,Uni_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Physical_Activities,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Grade
22,F,A,81,8,Law,Private,Low,High,Yes,Medium,High,Negative,Medium,39,Yes,6,Unhealthy,Low,3,Yes,,Visual,Yes,,Low,B
21,M,A,,12,Law,Public,Low,Low,Yes,,,Negative,High,75,Yes,5,Healthy,Low,9,No,No,Auditory,Yes,Yes,Medium,
19,M,C,93,12,Law,Private,Low,Medium,No,Low,High,Positive,Medium,46,No,6,Unhealthy,High,7,No,No,,No,No,Low,A
21,M,A,86,15,Business,Public,Medium,Low,No,High,Medium,Positive,High,,Yes,5,,High,9,Yes,No,Auditory,Yes,Yes,Low,C
19,,,89,15,Medicine,,Medium,Low,Yes,High,High,Negative,,41,Yes,4,Unhealthy,Low,9,Yes,No,Auditory,Yes,,Medium,B
19,M,C,82,14,Law,Private,High,Low,Yes,High,Low,Negative,Low,,No,8,Balanced,Medium,,Yes,No,Auditory,,No,Low,C
20,,A,84,13,Law,Private,High,Medium,No,,High,Positive,High,82,,7,Healthy,Low,5,No,,,No,No,High,A
21,M,,75,5,Business,Public,High,Low,No,,High,Positive,Medium,38,Yes,5,Balanced,High,6,No,Yes,Visual,Yes,Yes,High,A
19,M,C,73,10,Law,Public,Low,Low,No,High,,Positive,High,52,Yes,,Unhealthy,Medium,2,Yes,No,Auditory,No,Yes,Low,B
21,F,A,81,6,Arts,Private,High,Low,Yes,High,High,Neutral,,41,No,6,,Medium,2,Yes,No,Visual,Yes,Yes,High,
22,F,C,,9,Engineering,Private,High,Low,No,High,Medium,Neutral,High,,No,5,Unhealthy,High,7,Yes,No,Auditory,No,No,Medium,B
19,F,A,98,9,Business,Private,Low,,No,High,Medium,Negative,High,44,Yes,9,Healthy,Low,4,Yes,Yes,,No,Yes,Medium,C
22,F,C,72,20,Science,Private,Low,High,No,High,High,Positive,High,,No,6,Healthy,Medium,7,Yes,Yes,Kinesthetic,No,Yes,Low,C
21,F,C,79,18,Engineering,,High,,Yes,High,,Positive,Medium,47,Yes,7,,Medium,4,Yes,No,Auditory,Yes,Yes,Medium,C
,M,B,82,,Medicine,Public,Medium,Medium,Yes,High,Medium,,Low,26,No,6,Healthy,Medium,,No,,Auditory,No,Yes,Medium,B
20,F,A,94,10,Law,Private,,High,No,Low,Low,Positive,High,37,No,8,Healthy,Low,5,Yes,,Auditory,No,No,Low,A
21,M,B,70,9,Engineering,,,Medium,Yes,Low,Medium,Neutral,Low,67,No,7,Healthy,Medium,8,Yes,Yes,,No,No,Medium,B
21,F,,96,20,Arts,Private,High,Low,,,High,Neutral,Medium,,No,7,Healthy,,6,Yes,No,Auditory,Yes,No,High,A
20,F,A,79,20,Business,Private,Medium,High,Yes,Medium,Low,Positive,Medium,83,Yes,5,Balanced,High,9,No,No,Auditory,Yes,Yes,,C
19,,C,75,19,Arts,Public,Medium,Low,,Low,Medium,Positive,Low,68,No,6,Healthy,Medium,,Yes,No,Auditory,No,Yes,Low,B
18,M,C,,,Science,,High,Medium,No,Low,High,,Medium,90,No,8,Unhealthy,,7,No,Yes,Kinesthetic,No,Yes,High,B
19,F,C,71,20,Arts,Public,Medium,High,Yes,,High,Neutral,High,21,Yes,9,Balanced,Low,7,Yes,,Visual,No,,Medium,A
21,M,A,98,5,Science,Public,Low,Low,No,Medium,Low,Neutral,,46,No,9,Unhealthy,High,5,No,,Visual,No,Yes,Medium,C
21,F,C,73,15,Law,,High,Medium,,Medium,Medium,Positive,,96,Yes,8,Balanced,High,6,No,Yes,Visual,No,No,High,B
22,F,A,94,9,,Private,Medium,,No,Medium,Medium,Negative,High,89,Yes,8,,Low,3,Yes,No,Kinesthetic,No,No,Low,C
18,,,93,16,Medicine,Private,Medium,Medium,No,High,Medium,Neutral,Low,59,,6,Balanced,,3,Yes,Yes,Kinesthetic,Yes,No,,C
18,M,A,80,12,Business,Public,Medium,,No,High,High,Negative,High,82,Yes,5,Balanced,High,8,,Yes,,No,No,Low,A
18,M,A,91,6,,Public,High,Low,No,Medium,Medium,Positive,Medium,20,Yes,,Balanced,Medium,9,No,No,Visual,Yes,Yes,Low,C
22,F,A,,8,Medicine,Public,Low,,Yes,Low,High,Negative,High,,,9,,High,4,No,Yes,Visual,Yes,Yes,High,C
,M,B,96,12,Business,Private,High,,Yes,High,High,,Low,87,Yes,8,Healthy,High,4,Yes,Yes,Kinesthetic,Yes,No,High,A
18,F,A,99,8,Business,Private,Low,Medium,Yes,High,High,Negative,High,29,No,9,Unhealthy,Low,7,No,Yes,Visual,No,Yes,High,C
21,F,C,81,8,Medicine,Public,Low,Low,Yes,Medium,Low,Negative,High,33,No,8,Balanced,Medium,5,Yes,Yes,Kinesthetic,No,Yes,High,A
18,F,B,77,,Business,Public,Medium,Medium,No,Medium,Medium,Neutral,High,35,No,5,Unhealthy,Medium,7,Yes,No,,No,Yes,,C
18,F,B,75,8,Medicine,Public,Medium,Medium,No,Medium,High,Neutral,Medium,27,Yes,9,Balanced,Low,7,No,Yes,Auditory,No,Yes,High,A
22,F,,82,19,Arts,Private,High,High,Yes,,Medium,,Medium,89,Yes,8,Unhealthy,High,5,,,Visual,Yes,Yes,High,C
21,M,,74,15,Science,Private,High,Low,Yes,High,High,Neutral,Low,,Yes,6,Balanced,Medium,6,Yes,No,,Yes,No,Low,
22,F,A,96,11,Law,Private,Low,Low,,High,,Positive,Low,32,No,,Balanced,Low,3,No,No,Kinesthetic,Yes,,Medium,A
18,M,A,92,,Science,Public,Medium,High,Yes,High,Medium,Neutral,Medium,44,Yes,4,Healthy,High,5,No,,Visual,Yes,No,Low,B
19,M,A,84,15,Engineering,Public,Low,Low,No,Low,Low,Neutral,Medium,21,No,5,Unhealthy,Medium,9,Yes,Yes,Auditory,Yes,No,High,
,F,B,97,13,Business,Public,Medium,High,Yes,Low,Low,Neutral,Low,37,Yes,5,Balanced,Low,9,No,Yes,Auditory,Yes,Yes,High,C
20,M,C,70,5,Engineering,Public,High,High,No,Low,Medium,Neutral,,25,No,6,Unhealthy,Low,10,Yes,No,Auditory,Yes,No,High,C
20,M,A,,11,,Public,,Low,No,Medium,High,Negative,Medium,65,Yes,7,Balanced,Low,9,No,No,Auditory,,No,High,C
19,F,A,98,,Business,Private,High,Medium,No,High,Low,,High,67,Yes,7,Balanced,Medium,2,Yes,No,Visual,Yes,Yes,Low,B
18,F,,,6,Law,Private,High,High,Yes,,,Negative,Low,63,Yes,9,Healthy,High,7,Yes,No,Visual,No,Yes,Medium,A
,M,,91,13,Medicine,Public,High,,No,,Low,Neutral,High,48,,,Unhealthy,Low,8,Yes,No,Kinesthetic,No,Yes,Low,A
22,F,,70,9,Engineering,Public,High,Low,No,,Medium,Neutral,High,53,No,9,Unhealthy,Medium,5,No,Yes,Auditory,Yes,,Low,C
